Comments,Ti,Zr,Lu,Hf,Hg,Pb,Th,U
RAN_zrvf_17313,182,51300000,218100,8300000,58,20269.7,442000,869370
RAN_zrvf_17317,180,39700000,234000,6430000,73,7329,249000,298130
RAN_zrvf_17319,140,51400000,370000,7480000,70,14835,1197000,599490
RAN_zrvf_17322,113,43500000,296000,7590000,54,20559.2,990000,856200
RAN_zrvf_17323,290,38000000,172900,6190000,50,13290.9,559000,570020
RAN_zrvf_17331,137,41500000,214500,6770000,32,12049.5,665000,505540
RAN_zrvf_17351,50,43700000,247500,7500000,59,9962.5,283000,375870
RAN_zrvf_17353,191,47500000,493000,8140000,78,25687.9,750000,1027400
RAN_zrvf_17354,87,48100000,283900,8040000,38,4962,239000,211087
RAN_zrvf_17360,128,41700000,290000,6500000,49,9797.8,363000,403880
RAN_zrvf_17364,108,42700000,216000,7710000,62,14426,520000,521850
RAN_zrvf_17392,300,40700000,67700,5180000,56,912.5,26800,34642
RAN_zrvf_17395,340,27500000,77300,4690000,86,5152.6,76700,198420
RAN_zrvf_17397,34,15180000,62200,2603000,51,2361.6,70500,96428
RAN_zrvf_17403,100,34850000,92700,5960000,46,4300,102500,164649
RAN_zrvf_17404,180,42300000,195600,7620000,54,14032,532000,545880
RAN_zrvf_17410,100,41900000,215000,7350000,57,12109.1,370000,483400
RAN_zrvf_17420,91,37500000,202700,6560000,78,12160,496000,502680
RAN_zrvf_17433,119,43800000,212400,6660000,54,5489.5,177500,210490
RAN_zrvf_17437,113,43000000,335000,7630000,45,22527,1280000,906460
RAN_zrvf_17438,84,36700000,158400,5860000,55,6943.3,233300,263980
RAN_zrvf_17460,184,44800000,304000,6090000,72,13088.2,1060000,531930
RAN_zrvf_17465,214,45100000,161000,8840000,52,22080,447000,893690
RAN_zrvf_17467,58,34820000,392000,7190000,46,26639,890000,1107690
RAN_zrvf_17469,80,34190000,429000,6420000,40,19721,840000,844850
SEV_zrvf_12326,1040,32900000,66000,6290000,86,7855,104400,332300
SEV_zrvf_12556,480,40800000,71700,6540000,65,2207,40400,79807
SEV_zrvf_12683,560,32900000,90000,5390000,55,823.6,43700,98421
SEV_zrvf_12746,109,43700000,243000,6200000,33,6256.7,142200,247718
SEV_zrvf_12996,200,50500000,152000,9300000,110,13402,168000,562260
SEV_zrvf_13573,417,44100000,79500,6500000,36,2273,72000,89654
SEV_zrvf_13599,160,42700000,89200,6420000,49,1138.8,23400,42515
SEV_zrvf_13696,422,44400000,56400,6460000,44,1298.8,31600,46425
SEV_zrvf_13796,540,44400000,54900,7390000,37,2132.7,42000,77617
SEV_zrvf_13901,141,42100000,61200,7010000,59,1152.4,21260,44778
SEV_zrvf_14089,560,42300000,64800,8010000,91,4283.1,81400,166453
SEV_zrvf_14156,4100,36900000,53000,5650000,30,1760.3,39000,60328
TAP_zrvf_1091,68,44300000,214000,7570000,60,10294.5,223000,427390
TAP_zrvf_1204,34,39400000,169500,7460000,74,9501.1,325000,377860
TAP_zrvf_1268,206,29100000,151800,4480000,82,5773,152000,209430
TAP_zrvf_1406,100,6220000,35600,980000,67,1587,32200,34243
TAP_zrvf_1471,188,34800000,373000,4460000,71,9858,845000,399900
TAP_zrvf_1636,61,41700000,215000,6830000,59,2342.3,48200,81108
TAP_zrvf_1750,94,45800000,268000,7510000,72,9711,338000,399740
TAP_zrvf_1881,292,43200000,145800,5880000,48,2663.3,160000,103754
TAP_zrvf_1918,179,36300000,148500,6060000,53,8493,362000,299250
TAP_zrvf_1937,53,44100000,158300,7730000,50,6041.9,130600,242750
TAP_zrvf_2029,47,44200000,191400,7030000,43,7843.3,240300,318269
TAP_zrvf_227,94,46400000,315000,7780000,71,23310,882000,968000
TAP_zrvf_546,63,36100000,260000,6050000,11,11855,482000,478420
TAP_zrvf_55,380,32600000,283000,6110000,86,25704,1120000,1003700
TAP_zrvf_601,113,42800000,264000,6790000,73,8826.8,370000,363730
TAP_zrvf_633,196,43900000,224000,7760000,71,8705.1,340000,368570
TAP_zrvf_743,65,44100000,137800,7360000,36,7569.5,234500,297703
TAP_zrvf_813,3560,45800000,270000,8610000,79,25505,900000,1198200
TAP_zrvf_922,119,38600000,93200,6960000,65,107595.7,120500,493690
TAP_zrvf_969,436,41300000,86000,6890000,52,5539,139300,206850
TAP_zrvf_1723,122,38600000,291000,7990000,50,291665,570000,1852800
TAP_zrvf_825,380,31700000,311000,4130000,75,20052,2082000,735510
ACA_zrf_4364,810,56700000,114100,7720000,79,180468,206700,954940
ACA_zrf_4453,700,73500000,153300,9470000,94,162588,193000,732200
ACA_zrf_4532,830,85000000,429000,12260000,108,403895,489000,2603070
ACA_zrf_4583,240,63700000,112400,7740000,130,79829,91600,352330
ACA_zrf_4613,6200,67900000,722000,9740000,80,570487,2392000,7280000
ACA_zrf_4646,540,71000000,136400,9430000,90,47397,111000,269920
ACA_zrf_4782,247,71900000,103600,8420000,100,107266.9,90100,527830
ACA_zrf_4783,630,75900000,80800,7950000,77,1279.1,23400,41012
ACA_zrf_4788,300,72200000,282000,8080000,94,5178.1,67700,178290
ACA_zrf_4924,248,64600000,103200,10320000,90,214774,103300,1420000
ACA_zrf_5131,510,77900000,235000,11190000,89,425507.5,55000,4370200
ACA_zrf_5151,470,73900000,139600,9910000,96,109374,100900,610480
ACA_zrf_5291,540,75100000,107100,9620000,73,48932,59500,306200
ACA_zrf_5404,870,86300000,449000,12430000,67,373562,350000,2216430
ACA_zrf_5547,511,74000000,145400,7570000,69,54750,98800,260113
ACA_zrf_5548,209,73700000,79600,8190000,85,1995.4,30500,68294
ACA_zrf_5616,357,73400000,99300,8400000,91,2831.5,57100,100098
ACA_zrf_5799,332,73100000,115800,10450000,81,90332,86400,440130
ACA_zrf_5814,289,70500000,102500,9360000,85,41585.7,52800,252820
AGI_zrf_10010,400,63000000,173500,7470000,140,338389,737000,2161510
AGI_zrf_10022,62,67500000,73700,10660000,93,22763.4,70700,848170
AGI_zrf_10113,165,66800000,289000,6650000,71,12220,648000,445277
AGI_zrf_10115,127,67500000,165200,7860000,102,5438.2,133000,195410
AGI_zrf_10123,740,66700000,83900,7740000,133,6091.9,90600,55982
AGI_zrf_10175,900,55800000,183800,8580000,70,185192,99970,1385050
AGI_zrf_10178,394,72400000,439000,8660000,79,20340,533000,768480
AGI_zrf_10297,502,65800000,72800,8430000,96,22865.6,25800,145428
AGI_zrf_10299,670,65600000,110100,8040000,95,12226.5,54700,74107
AGI_zrf_9169,1330,53300000,363000,7760000,109,206037,485000,3795100
AGI_zrf_9186,780,65900000,99670,8080000,111,22464,59800,129400
AGI_zrf_9197,340,69600000,118200,9240000,78,79227.3,145000,499570
AGI_zrf_9285,477,66900000,130600,9090000,58,17954.8,43700,107082
AGI_zrf_9326,281,74000000,225700,8730000,52,79955.5,313000,528860
AGI_zrf_9356,546,68500000,87500,8200000,100,23938.3,59200,148389
AGI_zrf_9380,438,73400000,186000,8090000,72,3789,126000,129980
AGI_zrf_9399,365,66000000,161800,7780000,123,44259.4,149700,283070
AGI_zrf_9476,298,68900000,200300,7900000,98,4242,115300,153438
AGI_zrf_9501,116,74500000,365000,7770000,63,9880.7,440000,386830
AGI_zrf_9503,240,73700000,160000,10030000,44,5089,102700,182310
AGI_zrf_9510,141,74800000,747000,10380000,87,59073.1,1770000,2356100
AGI_zrf_9511,530,74600000,340000,12510000,115,46504,690000,1883200
AGI_zrf_9558,370,57200000,104800,6580000,63,24793.9,100200,163253
AGI_zrf_9664,1450,68500000,158900,8290000,83,38705.3,96500,242719
AGI_zrf_9764,630,74900000,201400,10030000,73,71403,175000,431200
AGI_zrf_9961,5300,46700000,74700,5400000,78,1793,41300,58027
AGI_zrf_9982,350,65600000,148000,7630000,53,3842.9,102000,129920
AGI_zrf_9036,11500,74400000,470000,6720000,76,46268,1990000,1702280
BAD_zrf_5902,195,68400000,154000,8810000,95,7768,145000,302050
BAD_zrf_5912,320,67500000,331000,6980000,96,9643.5,315000,354530
BAD_zrf_6039,234,71100000,237000,8190000,102,9316.5,310000,336400
BAD_zrf_6048,600,53800000,159300,5090000,44,3022,106100,101604
BAD_zrf_6208,143,69200000,299000,8360000,84,9424.7,332000,350410
BAD_zrf_6340,460,62100000,64500,7690000,58,20604.9,37700,117160
BAD_zrf_6402,440,80700000,320000,6610000,111,3028,210000,113048
BAD_zrf_6425,106,69100000,79800,8940000,70,4172.6,60200,160996
BAD_zrf_6707,218,71600000,151800,7860000,82,10118,248000,396860
BAD_zrf_6735,225,75000000,212300,8100000,91,5821.8,161400,214510
BAD_zrf_6952,178,71100000,399000,7520000,61,11548.5,437000,448160
BAD_zrf_6999,396,64000000,565000,6320000,78,36455.3,2450000,1379700
BAD_zrf_7055,265,65600000,165000,6950000,67,2476,80400,90539
BAD_zrf_7066,429,66600000,157800,5930000,68,1273.7,49000,46864
BAD_zrf_7068,100,77600000,215000,9830000,127,19633,618000,746170
BAD_zrf_7252,240,44600000,194300,5720000,80,7684,256000,294190
BAD_zrf_5897,4030,70400000,388000,6610000,64,12575,745000,458270
BAD_zrf_6640,111,66100000,284000,8330000,104,9808.3,384000,368450
BUR_zrf_1096,467,68200000,100300,8170000,96,1913.9,37800,62841
BUR_zrf_1295,65,69500000,208300,8350000,71,9440.5,64300,251844
BUR_zrf_1335,990,72200000,108300,9120000,80,1958,30600,68504
BUR_zrf_158,1390,67000000,117900,9180000,88,169531.3,127000,1077660
BUR_zrf_226,740,82300000,8750,9190000,56,13486,30400,117743
BUR_zrf_238,102,68500000,37100,8080000,71,19742.4,29800,181290
BUR_zrf_258,372,74000000,79300,7980000,54,1413,115600,195360
BUR_zrf_46,138,71300000,241100,8030000,96,3954.2,285000,516660
BUR_zrf_508,129,67200000,106100,6770000,64,1130.5,66300,144034
BUR_zrf_517,400,65100000,3560,7570000,83,4789,9370,42537
BUR_zrf_751,77,68200000,25100,8340000,80,10576,27100,290040
COR_zrf_1314,140,57900000,67100,7860000,114,129736,98000,351750
COR_zrf_1837,300,75600000,131800,9280000,148,39931,417000,452330
COR_zrf_2611,370,80400000,119000,9120000,110,1908,102300,226570
COR_zrf_2811,1250,79500000,88700,12010000,82,31341,61200,199736
DON_zrf_1633,920,68900000,85800,7640000,69,2262.7,39800,78590
DON_zrf_1772,600,63700000,71400,7630000,155,23447,25450,143590
DON_zrf_1833,680,62300000,77400,7180000,70,1676.4,35800,61654
DON_zrf_1846,300,52800000,193000,8260000,112,285247,239000,1188450
DON_zrf_2412,154,50000000,59700,6060000,81,38013.6,50300,277538
DON_zrf_2732,200,72500000,171000,8550000,100,3247,69500,119828
DON_zrf_2822,3410,64200000,65500,10230000,133,8454,124700,312134
FRI_zrf_5937,474,75200000,152000,8830000,96,80560,85000,495710
