Comments,Ti,Zr,Lu,Hf,Hg,Pb,Th,U
PAL_zrf_3907,850,79700000,81400,9410000,76,3633.9,62900,129950
PAL_zrf_3924,52,68600000,607000,12430000,74,33647.6,200000,1148100
PAL_zrf_3962,550,59900000,59200,8480000,169,3319,48900,102889
PAL_zrf_4079,400,58300000,84500,7720000,127,3780,66600,129592
PAL_zrf_4109,243,56200000,139000,7380000,73,146747,133000,579090
PAL_zrf_4190,443,65600000,90000,7260000,80,2134,53300,73283
PAL_zrf_4433,660,65100000,115400,7670000,60,6425.4,150000,216600
PRO_zrf_10476,478,66000000,326000,5710000,49,4561.6,298000,173224
PRO_zrf_10729,680,74300000,734000,7250000,89,20500,1471000,815860
PRO_zrf_11181,191,66700000,109200,8060000,72,21170.7,179000,132029
PRO_zrf_11234,307,69000000,293000,7680000,83,13895.1,728000,518800
PRO_zrf_11274,630,73600000,312000,6760000,88,218586,435000,1054560
PRO_zrf_11709,426,67900000,239000,6070000,67,4630,211000,164215
PRO_zrf_11721,183,70300000,62300,8920000,60,89884.8,91800,567070
PRO_zrf_11998,417,66700000,339400,6850000,69,19822.4,1630000,738940
PRO_zrf_10538,390,75200000,402000,8950000,82,15446,835000,607310
PRO_zrf_11847,330,79500000,354000,10590000,45,222770,406000,935810
RAN_zrf_8637,213,73400000,344000,8250000,102,11678,464000,396990
RAN_zrf_8651,2620,50600000,3770000,23700000,91,297996,66000000,35644000
RAN_zrf_8682,285,72200000,179000,7750000,74,5571.5,176000,202551
RAN_zrf_8693,275,76100000,129400,8590000,63,5082.2,151600,194450
RAN_zrf_8751,360,67500000,212000,7190000,82,5379,208400,203991
RAN_zrf_8752,256,73600000,181000,8320000,81,4812.6,130800,176255
RAN_zrf_8759,239,73100000,283000,8330000,51,11299.9,325800,433080
RAN_zrf_8760,129,72800000,403000,8180000,73,7766.6,230000,291843
RAN_zrf_8922,330,85500000,431000,8190000,106,10400,547000,401743
RAN_zrf_8942,530,79300000,97000,8810000,89,3233,75600,113400
RAN_zrf_8971,300,72300000,158000,8110000,92,4530,117000,158150
RAN_zrf_8984,336,68700000,183000,6240000,100,2592.2,54700,91490
RAN_zrf_9025,228,76200000,135600,8240000,78,3165.5,84100,116656
RAN_zrf_9029,145,73200000,293000,8470000,76,12131,394000,454350
RAN_zrf_9127,860,69600000,110800,7500000,100,2297,65900,78322
RAN_zrf_9220,143,58300000,278000,5830000,33,5309,267400,185123
RAN_zrf_9221,108,73300000,196000,10030000,80,8034.1,207000,287050
RAN_zrf_9277,221,67200000,194900,7530000,78,6897.5,213000,250740
RAN_zrf_9338,360,77100000,392000,7030000,109,8379,587000,320970
RAN_zrf_9351,3400,79600000,565000,10850000,132,51991,2600000,2013700
RAN_zrf_9353,354,72600000,316000,7660000,110,11664,726000,418040
RAN_zrf_9359,467,69200000,182000,6870000,61,3344,187000,130897
RAN_zrf_9367,149,71800000,220900,9550000,94,8752.3,227000,316300
RAN_zrf_9371,147,72100000,336300,8470000,97,10977.5,638000,414640
RAN_zrf_9406,1230,47200000,1840000,8530000,108,298538,123000000,23260000
RAN_zrf_9537,310,83000000,271000,8420000,60,7849,245000,316220
RAN_zrf_9549,167,66700000,89300,7810000,79,3507.5,83600,123270
RAN_zrf_9550,620,80100000,367000,9390000,144,11052,430000,431130
RAN_zrf_9555,253,78000000,239000,8320000,37,6806,193000,277040
RAN_zrf_9561,750,69800000,293600,5740000,83,2949,128900,107481
RAN_zrf_9566,167,71500000,392000,6810000,63,12700.3,476800,491560
RAN_zrf_9571,311,70100000,139100,7740000,98,4437.8,115900,160997
RAN_zrf_9572,274,70500000,311800,6670000,78,6459.7,292500,234278
RAN_zrf_9579,327,82100000,180900,7530000,77,2026.1,65300,79454
RAN_zrf_9593,240,73500000,205000,8810000,82,8799,259000,325410
RAN_zrf_9596,3400,70800000,272000,8370000,70,7328,292000,261470
RAN_zrf_8772,900,48300000,3170000,9670000,76,1699676,116000000,38458000
RAN_zrf_9480,55,69200000,364000,7210000,58,16705,808000,626520
SEV_zrf_7383,296,70500000,138500,7800000,83,3037.8,59800,108779
SEV_zrf_7432,720,75000000,77700,9580000,82,5545,84700,204505
SEV_zrf_7547,980,61700000,204900,6370000,109,107779,191400,476570
SEV_zrf_7629,370,70700000,66300,8220000,96,1847.8,42700,64870
SEV_zrf_7788,89,67300000,124500,9220000,94,2664.1,34100,95600
SEV_zrf_7985,270,56900000,1850,6530000,112,13648,5060,86486
SEV_zrf_8014,840,65600000,103300,6940000,90,1393.2,52800,47830
SEV_zrf_8050,810,66800000,65400,7580000,86,1804,41600,60911
SEV_zrf_8469,206,74300000,112600,9210000,69,3250,54100,114810
TAP_zrf_10256,142,71200000,96400,6960000,94,2821.9,74200,104834
TAP_zrf_10349,270,70300000,229600,7520000,106,7216.4,162100,271020
TAP_zrf_9776,187,66500000,364000,8590000,96,19252.4,740000,675000
TAP_zrf_9914,461,70700000,259000,6410000,69,5028.9,257000,186370
