Comment,Mn,Zr,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Pb,Th,U,P,La,Ce,Pr,Nd,Sr,Y,Lu
BURvf_22,625,0.347,29.1,7.42,26,3.48,21.54,4.78,15.3,2.173,16,8.334,28.4,23.19,67800,331.6,527,49.7,184.4,250.4,146.1,3.05
BURvf_23,344,0.272,2.22,2.17,4.5,0.734,5.79,1.72,5.94,0.912,7.35,40.7,0.254,1.44,73100,1.88,3.89,0.55,3.82,284,48.7,1.34
BURvf_24,214.5,0.048,48.1,12.03,48.6,5.54,28.6,5.23,13.06,1.439,8.6,12.26,0.032,1.85,75700,17.7,94.9,23.2,160.5,748,144.8,1.477
BURvf_25,550.8,1.09,23,4.88,20.88,2.593,16.09,3.42,9.69,1.129,6.74,8.69,26.25,24.49,68200,233.9,347,35.51,139.4,229.6,102.7,1.118
BURvf_26,271,0.103,66,6.2,43,5.7,37.4,8.88,30.3,4.28,26.8,14.49,10.5,0.4,77600,390,1100,139,560,640,259,3.83
BURvf_27,288,1.06,79,17.54,61.9,6.65,35.2,6.45,16.18,1.83,10.26,6.044,32.7,22.8,73500,265,825,108,476,297.4,163.1,1.61
BURvf_28,749,0.79,104.7,14.39,68.1,8.18,45.5,9.05,25.7,3.71,22.55,8.39,32.72,7.97,71900,1325,2483,241.3,836,366.6,255.1,3.48
BURvf_29,344.5,0.362,17,4.72,26.9,4.08,27.7,6.22,18.19,2.392,14.53,5.393,4.87,3.74,78100,4.1,17.5,4.04,34.8,624,158.4,2.09
BURvf_30,224.6,0.036,11.08,1.484,23.56,3.27,22.26,5.25,15.38,2.057,13.2,7.672,0.044,0.2079,71700,1.47,5.63,1.41,16.34,524,122.6,2.261
BURvf_31,508,0.61,214.4,39.3,212.8,30.89,201.7,43.1,131.8,19.15,125.8,9.82,9.33,4,65420,155.2,745,150.2,869,292.3,1258,19.08
BURvf_32,272.1,0.196,26.2,5.23,28.7,3.14,17.29,3.31,9.79,1.25,8.77,16.26,0.171,3.461,55800,5.14,39.2,10.34,86.2,427.2,99.7,1.704
BURvf_33,445,0.479,45.5,8.72,43,5.44,36.4,7.84,24.46,3.51,24.36,11.39,39,28.7,77300,167.4,388,48.6,225.1,247.2,244,4.23
BURvf_34,134.8,0.238,17.73,2.58,19.9,2.64,16.75,3.71,11.31,1.682,11.72,3.58,3.55,1.159,72600,34.8,99,14.72,80.5,445.9,99.6,2.125
BURvf_35,264,0.38,32.6,6.5,21.1,2.06,8.87,1.26,2.61,0.234,1.31,32,10.6,1.62,62700,111,291,41,184,1220,39.9,0.161
BURvf_36,925,0.467,117.4,19.47,101.2,12.49,71,14.01,38.4,4.9,30.8,6.593,9.87,4.75,76000,349,909,121.6,594,421,383,4.84
BURvf_37,2770,0.97,25.2,5.19,32.2,4.3,24.8,4.81,12.38,1.691,9.06,10.23,7.79,3.73,71800,5.55,28,7.25,64.2,702,122.9,1.39
BURvf_38,381,0.07,0.065,0.046,0.333,0.109,1.36,0.591,3.57,0.796,8.65,5.499,0.018,0.0281,78000,0.016,0.106,0.031,0.215,298,17.9,1.84
BURvf_39,1140,8,161.9,31.76,138.2,18,107.4,21.84,60.5,8.08,52.8,16.51,17.5,12.93,59000,566,1605,197.3,886,257.9,587,8.26
BURvf_40,934,1.24,31.6,10.03,24.02,2.811,17.72,3.73,11.22,1.683,12.41,8.54,35.9,11.11,72200,937,1242,87.5,268.4,325.4,113.4,2.255
BURf_1,156.8,0.047,28.5,15.29,45,6.25,40.6,7.46,19.8,2.36,15.35,8.45,0.0182,1.095,258000,3.92,20.1,5.96,54.1,405,213,2.35
BURf_2,278.2,0.034,12.95,3.45,17.17,2.21,14.02,3.13,9.36,1.303,8.6,9.757,0.096,1.641,266300,28,69.5,9.91,53.6,347,87.2,1.532
BURf_3,381,1.73,156.8,26.81,134.4,17.19,100.9,19.5,51.7,7.28,43.4,6.854,20.39,20.03,274100,470,1493,200,894,326.9,535,6.45
BURf_4,177.5,0.038,14.47,4.23,17.76,1.697,8.84,1.591,3.88,0.369,2.08,2.7,0.0139,0.1299,270600,9.37,39.6,7.87,57.9,386.4,44.6,0.377
BURf_5,309,0.96,127.1,25.6,133.1,16.76,94.3,16.6,37.5,4.4,25.5,12.98,0.423,8.42,236000,39.9,193.3,42.8,322,376,465,3.73
BURf_6,254.5,0.036,20.9,5.62,22.7,2.374,12.3,2.45,5.87,0.669,4.15,4.817,0.088,0.299,276400,25.72,84.9,14.79,94.1,393,68,0.64
BURf_7,173.2,0.046,17.8,3.6,21.31,2.54,14.42,2.9,7.6,1.004,6.4,9.01,0.0092,0.212,258000,10.8,43.2,8.6,59,883,79.7,1.069
BURf_8,362.5,0.027,151.9,15.83,205.9,31,197.8,40.3,109.8,14.93,89.4,5.643,0.017,3.03,260700,57.1,248.5,55.1,393,408,1116,11.72
BURf_9,287.1,0.287,10.46,6.05,11.63,1.056,5.84,1.19,3.08,0.383,2.19,4.489,0.558,0.515,273000,121.3,174.2,17.04,74.3,402,33.6,0.432
BURf_10,353,0.09,13.07,2.58,13.32,1.405,7.54,1.497,3.82,0.425,2.3,12.96,0.126,0.1365,267000,86.1,151,15.32,76.2,370,44,0.468
BURf_11,350,0.51,7.96,3.32,13.83,2.41,18.9,4.96,16.1,2.46,17.7,10.32,1.01,1.101,260100,2.52,10.4,2.51,18.9,617,159,3.58
BURf_12,552,1.16,282,18.39,249.2,32.5,190,35.95,93.3,11.47,63.2,9.051,48,17.9,263200,631,2005,282.8,1337,399,1005,8.46
BURf_13,162.4,0.038,12.05,4.71,25.53,3.58,23.31,5.13,13.95,1.74,10.41,3.442,0.0085,0.1365,269200,0.688,5.48,1.67,18.22,371.1,149.8,1.739
BURf_14,470,0.77,42.6,9.84,57.6,7.89,43.7,8.24,20.59,2.38,13.33,10.314,0.065,2.81,276200,28.56,102.5,19.28,123.4,588,216.4,2.317
BURf_15,325.1,0.059,8.27,6.1,8.86,0.741,4.09,0.909,2.07,0.246,1.5,5.722,0.042,0.1164,268700,39,89.5,11.04,53.6,420,23.8,0.3
BURf_16,1026,0.467,127.7,18.75,101.1,11.97,70.5,13.61,36.4,4.79,30.1,7.718,8.49,4.06,272200,402,1130,148.2,679,431,372,4.49
BURf_17,271.3,0.083,7.47,2.56,8.9,1.115,7.3,1.494,4.55,0.74,4.42,9.472,0.249,1.035,272300,9.12,31.5,5.24,29.8,378,45.4,0.914
BURf_18,608,0.146,46.8,8,50.1,6.2,37.75,7.31,19.43,2.45,14.3,10.92,1.222,11.18,269700,75.5,201.7,32.1,189.3,382,185.2,2.285
BURf_19,273,1.53,205.8,15.24,198.9,25.73,154.3,29.99,77.9,9.3,55.9,11.91,127.4,60,246000,283.6,1159,176.8,920,260.1,809,7.75
BURf_20,547,1.99,43.8,11.62,32.4,3.85,23.74,4.87,15.48,2.44,17.89,5.259,33.9,11.49,283900,822,1301,103.6,333,294.9,156.5,3.34
BURf_21,653,0.741,38.7,11.66,27.33,3.02,18.62,3.89,12.09,1.861,13.94,7.49,47.5,21.72,278900,1006,1425,103.7,332.7,301.6,125.4,2.679
BURf_22,334.8,0.21,9.92,4.39,12.16,1.506,9.57,2.442,7.24,0.981,6.45,11.382,0.087,0.146,281100,71.5,108.1,11.73,55.9,665,69.3,1.234
BURf_23,293.5,0.116,32.4,6.54,28.49,3.21,18.98,3.82,10.43,1.494,8.6,10.7,0.336,1.497,285600,129,319,41.7,187.9,465.4,111.6,1.479
BURf_24,318.9,0.283,64.7,16.55,74.8,11.24,74.8,16.3,47.7,6.84,41,2.916,0.047,0.414,280900,38.5,197.6,36.4,224.3,290.2,438,6.34
BURf_25,638,0.534,30.9,8.99,23.9,3.01,18.6,4.13,12.45,1.86,14.21,4.849,29.8,14.25,281300,540,819,62.4,222.2,293.3,126,2.547
BURf_26,925,0.694,139.7,24.2,120.5,15.48,85.9,17.79,49.8,6.7,41.8,8.34,16.3,5.9,270000,436,1250,151.8,707,359,479,6.6
BURf_27,158.5,0.04,55.2,16.73,81.6,10.96,66.7,12.55,33.4,4.37,27.52,5.345,0.026,1.908,278500,5.62,32.4,9.72,89.4,868,349,3.94
CORf_1,253.2,0.04,6.12,1.69,12.99,1.927,12.83,2.88,8.05,0.99,6.55,7.449,0.395,0.61,190200,1.76,7.21,1.5,13.22,364.4,78.4,1.229
CORf_2,331.5,0.579,266.6,43.31,214.7,23.96,123.3,20.79,47.7,5.42,29.96,18.91,14.14,3.34,183500,266.9,1170,203.4,1185,1188,547,3.898
CORf_3,246.3,0.037,6.2,2.09,11.16,1.181,5.92,1.031,2.3,0.264,1.67,1.231,0.85,0.661,184800,0.927,4.15,1.044,11.1,282.3,26.89,0.273
CORf_4,223.2,0.117,38.2,11.09,64,9.9,61.6,11.77,29.8,3.49,19.8,19.63,3.12,1.107,177300,7.03,34.2,8.62,70,1271,320.4,2.78
CORf_5,256,0.621,55.9,17.61,83.9,12.13,77.4,15.44,39.2,5.07,28.7,18.76,6.04,2.105,191500,20.67,84.6,18.2,133,1187,418,4.28
CORf_6,765,1.87,18.1,5.4,48.7,11.12,104.2,30.09,108.2,16.29,113.3,12.51,8.44,4.04,184700,2.45,12.21,2.92,27,360.2,835,22.27
CORf_7,273.2,0.119,13.5,6.57,30.1,5.09,35.4,8.27,23.11,2.74,16.3,4.018,1.69,1.175,167800,1.78,9.76,2.68,23.8,717,212.3,2.57
CORf_8,590,0.874,158.9,30.8,142.7,18.57,111.5,21.78,60.2,8.2,52,9.027,67.2,74.2,184900,192.2,700,120.5,661,428.4,613,8.09
CORf_9,190.3,0.017,35.5,8.15,32,3.33,15.35,2.41,5.21,0.538,2.69,1.68,0.014,0.138,159200,4.99,37.2,11.88,105.3,996,63.6,0.343
CORf_10,223.2,0.02,5.11,1.71,12.3,2.171,16.7,3.89,11.7,1.452,8.18,2.921,0.007,0.1262,183500,0.81,3.42,0.83,8.13,639,111.5,1.161
CORf_11,531,0.442,98.4,15.7,70.8,8.57,48.9,9.44,26.26,3.84,25.97,11.424,85.7,40.01,185900,431,1163,150.6,652,442.2,275.4,4.14
CORvf_1,618,0.035,13.4,4.48,39.8,7.37,52.5,11.74,33,4.05,23.45,5.28,0.03,0.796,124000,0.759,2.97,1.036,11.4,757,323.9,3.93
CORvf_2,144.5,0.074,44.1,17.87,58.5,7.03,37.6,6,13.11,1.354,6.42,15.93,0.115,0.292,103500,12.7,52.2,12.1,98,895,175.4,0.746
CORvf_3,711,1.97,235.9,26.56,218.1,26.53,156.7,30.07,77.8,9.58,54.2,11.92,20.57,53.7,106300,342.3,1241,197.7,1032,499.9,809,7.67
CORvf_4,276.3,0.056,15.48,7.87,23.3,3.37,25.7,6.57,20.2,2.71,16.41,8.603,0.066,0.246,119000,8.86,38,7.78,50.4,440,191.3,2.93
CORvf_5,774,1.73,189.8,24.1,149.9,18.24,103.7,19.74,51.3,6.71,40.6,10.203,31.3,30.9,114100,723,1881,236.7,1057,604,538,5.69
CORvf_6,710,2.84,2.18,0.67,3.01,0.494,3.72,0.82,2.45,0.351,2.61,14.07,0.02,0.1079,124000,1.33,3.6,0.723,4.64,807,20.9,0.442
CORvf_7,302,0.11,13.57,2.86,35,5.27,38.8,8.1,21.82,2.63,14.68,2.941,0.0075,0.138,130200,0.272,2.68,1.057,13.8,268.8,211.1,2.25
CORvf_8,710,1.98,50.4,10.39,48.3,6.92,45.6,9.39,27.84,3.79,26.72,22.64,10.84,66.7,106200,81.7,250.5,39.9,213.2,525,263.9,4.33
CORvf_9,341,0.102,39.8,7,50.3,7,43.5,8.61,23.9,3.11,18.45,9.962,0.74,9.6,127600,7.46,47.1,12.2,95.8,440,239,2.8
CORvf_10,31500,1.13,5.78,2.35,18.3,5.89,58.5,15.1,53.9,8.88,63.8,13.66,0.167,0.432,107700,15.65,31.4,4.21,20.1,260.6,478,10.18
CORvf_11,436,0.44,8.39,1.62,8.37,1.37,11.18,3,12.11,2.19,16.7,20.55,0.83,0.136,95600,14,40.9,6.88,30.9,656,99.3,2.75
CORvf_12,249.7,3.2,3.13,1.02,5.66,1.32,15.6,5.88,27.6,5.22,39.4,12.36,0.65,3.02,129600,5.7,5.48,2.04,9.8,185.1,169,6.75
CORvf_13,342,0.77,100.5,10.25,100.9,12.87,79,16,46.7,6.28,41.1,10.6,28.2,46.3,105600,113.1,446,77.9,424,360,456,6.6
CORvf_14,613,0.588,122.9,11.37,116.2,14.99,92.4,18.29,49.5,6.65,41.8,11.46,22.9,83.5,119600,112.1,432,80.2,474,403,499,6.14
CORvf_15,337.3,0.403,0.83,0.325,1.64,0.304,2.35,0.757,2.93,0.473,3.61,1.795,1.17,0.171,104600,0.839,2.08,0.277,2.26,399.7,18.64,0.703
CORvf_16,201.8,0.032,19.1,7.72,39,5.11,28.7,4.8,10.37,1.072,5.84,2.133,0.007,0.0267,112500,0.834,5.02,2.12,24.5,583,120.7,1.006
CORvf_17,254.5,0.42,50.6,11.6,71,8.57,44.8,7.99,19.74,2.21,11.97,9.849,0.007,0.161,90200,2.53,19.93,8.06,89.2,2430,240.9,1.836
CORvf_18,315,0.106,16.8,5.13,28.4,3.45,21.1,4.25,11.16,1.3,6.98,23.89,0.007,0.161,82800,4,19.4,4.53,34.2,791,128.6,1.239
CORvf_19,715,0.515,18.8,1.27,28.1,3.9,25.56,5.59,16.2,2.04,13.19,9,1.37,0.874,92000,2.03,11.67,3.86,37.8,516.1,141.8,2.25
CORvf_20,690,1.97,25,8.01,25.4,3.06,18.33,3.66,10.02,1.263,8.27,10.91,2.2,0.42,91400,61,166,23,118,844,116.2,1.383
CORvf_21,455,0.187,6.08,2.04,17.8,3.62,27.31,5.63,13.96,1.388,6.24,12.32,0.024,0.0875,100600,2.26,6.56,1.07,8.29,341,164.6,0.719
CORvf_22,4890,11.8,52.2,9.7,61.7,7.78,51.3,10.6,30.6,3.97,26.2,146.2,63.6,17.4,70300,50.1,181,32.4,193,500,300,4.26
CORvf_23,458,1.34,15.8,4.51,36.9,6.37,50,12.3,40,5.37,31.3,45,0.192,0.422,80500,16.7,21.9,5.6,28.8,249,321.1,4.41
DONf_1,396,3.09,957,107.7,903,120.1,717,133,339,41.59,226.5,8.95,2.94,3.7,272400,1277,4390,724,4050,304.6,3552,29.08
DONf_2,409.3,1.25,329.1,60.9,328.5,43.8,261.2,50.8,137.3,18.4,106.9,8.43,3.24,10.03,278300,139.6,837,176.1,1121,426.8,1394,16.1
DONf_3,445,1.42,131.6,24.43,122.1,16.34,103.1,21.45,61.4,8.46,52.2,13.599,60.6,38.18,266500,890,1798,183.5,739,298.6,619,9.05
DONf_4,280.6,0.76,224.8,31.1,208.6,28.09,176,37.62,112,17.42,118.6,21.22,46.8,109.6,253800,444,1480,216.1,1080,245,1079,20.09
DONf_5,957,7.65,280,57.6,237,30.6,194,38,107,15.97,103.5,27.39,113.5,125.4,263000,845,2420,319,1447,306,1084,15.77
DONf_6,329.3,0.259,436,56.8,304.7,23.66,67.3,5.6,7.34,0.494,2.12,7.397,11.12,3.92,296700,1303,3259,436.4,2101,214.3,155.8,0.212
DONf_7,214.6,0.03,72.1,16.9,79.5,9.61,52.7,9.44,22.42,2.62,14.46,1.0439469,0.413,0.416,292100,59,225.6,43.4,269.9,656,281.1,1.929
DONf_8,322.4,1.06,330,22.33,286,35.7,209.1,40,105.1,13.03,71.9,18.235,67.2,94.6,297300,1026,2801,372,1667,427.1,1063,10.07
DONf_9,431,0.304,76.9,14.49,71.7,8.9,52.8,10.97,31.3,4.27,26.2,8.444,9.17,8.66,288200,362,778,93.1,408,360.5,303,4.53
DONf_10,711,2.15,84.7,17.22,74.3,8.88,53.2,11.12,32.67,4.77,31.4,6.25,41.4,14.37,283800,411,955,110.3,475,335,313.4,5.52
DONf_11,530,1.9,372,76,358,45.7,277.8,52.3,143.2,18.94,119.9,12.87,8.23,14.39,274000,382,1631,276,1532,359,1483,17.89
DONf_12,773,0.51,56.8,10.83,48.4,5.58,32.5,6.82,19.97,2.639,17.54,22.14,2.1,1.882,286100,214.6,612,79.5,356,485,198.9,3.308
DONf_13,547,2.07,673,72.4,610,79.4,469,86.4,226.3,28.09,166.1,18.35,77.3,21.53,278600,1750,4620,657,3119,410,2358,23.21
DONf_14,1352,0.065,135,4.78,179.9,35.19,243.7,45.9,125.3,17.22,106.4,27.06,4.38,43.27,296900,115.8,373,61.9,330.5,166.7,1248,14.17
DONf_15,349,0.254,162.1,31.69,157.5,18.81,104.3,18.07,43,4.82,25.24,1.824,1.34,0.914,295100,286.7,856,129.9,704,591,486,3.272
DONf_16,787,1.72,412,20.7,329,42.1,245,46.3,125.7,15.51,86.6,20.9,34,74.8,298000,1410,3990,505,2190,363,1309,11.53
DONf_17,304,0.151,127.5,26,128.5,14.08,78.1,13.47,31.9,3.56,17.8,4.498,0.571,0.797,255000,228,707,112.7,538,749,348,2.33
DONf_18,142.5,0.048,116.1,24.82,114.4,13.59,74.2,12.8,29.37,3.49,17.15,5.817,2.19,1.061,304400,134.2,455,78.3,468,800,354.5,2.359
DONf_19,508,4.56,1229,246.9,1094,136.2,737,118.3,259.6,27.24,134.9,16.99,15.31,6.63,295600,1279,4730,866,5020,445,2966,15.17
DONf_20,244.5,5.32,836,386,787,106.3,629,114.3,295,38,228,11.81,19.5,15.79,287600,787,2920,532,3130,384.2,3050,31.4
DONf_21,451,1.18,613,23.8,531,73.6,442,82.9,224.5,28.7,161.8,19.44,75.7,105.8,306000,1510,4730,653,3020,239.3,2396,20.8
DONf_22,826,2.12,660,48.8,613,85.2,521,99,286,39.5,249,38.09,114.3,224.8,288000,1337,4120,615,2990,235.4,2930,35.7
DONf_23,401.9,2.01,472,73.8,438,58,344.5,63,169.5,22.53,139.6,14.34,14.35,15.02,302700,496,2035,341.1,1885,402.7,1746,19.38
DONf_24,345,0.8,419,87.4,464,61,351,60.9,142.9,16.03,83.7,11.1,2.63,5.95,287000,120.8,713,163.3,1205,592,1596,9.97
DONf_25,376.6,1.3,472,54.1,401.5,49.7,285.2,51.2,130.3,15.85,87.8,10.179,28.23,6.62,298800,1472,3840,510,2342,432.2,1373,11.22
DONf_26,449.6,2.27,3460,255,2130,216,1036,150.4,307.8,32.34,156,18.88,222,21.9,333000,15500,35400,4970,23100,812,3800,17.93
DONf_27,403,2.16,702,105.5,654,89.7,561,103.7,277.6,38.5,234.8,13.52,6.06,8.93,302100,864,3270,554,2930,300.4,2820,33.4
DONf_28,300.8,0.54,563,37.2,538,72.9,460,86.9,233,30.7,189,14.68,24.8,7.31,301000,2360,5240,662,2910,230.3,2460,25.4
DONf_29,277.9,0.447,558,32.5,503,64.4,398,76.5,211,26.9,161.3,25.4,28.8,19.2,305000,2610,6070,736,3120,223.2,2170,23
DONvf_1,585,1.06,201.4,90.2,210,29.24,180,34.53,96,13.02,79.9,12.49,0.76,6.1,94400,113.6,514,105.1,668,424,958,11.77
DONvf_2,415.3,0.77,278.5,40.1,293.9,42.7,272.1,56.1,162,22.83,143.8,12.15,17.34,22,109500,259.4,938,167.5,986,281.2,1619,20.65
DONvf_3,458.1,0.856,282.5,41.27,300.3,42.93,270.5,55.1,159.4,22.05,139.9,11.78,21.35,12.51,98100,270.6,980,168.8,979,285.2,1637,20.52
DONvf_4,815,0.425,108.3,15.06,93.4,11.06,64,12.72,33.8,4.46,30.1,7.863,9.52,4.76,116700,324,808,107.9,548,341,356,5.42
DONvf_5,607,1.79,59.9,9.93,46.6,5.96,35.55,7.34,21.62,3,20.53,19.36,36.2,13.84,100200,617,1068,99.7,377,368.7,210.6,3.202
DONvf_6,431.4,1.28,253.3,40.81,218.4,28.79,173.1,34.41,97.7,13.36,85.3,25.44,105.9,130.2,94300,609.3,2012,275.7,1263,259.1,986,13.08
DONvf_7,565,0.96,247.9,29.05,198.6,24.25,137.3,26.45,71.8,9.49,56.2,18.23,55.2,54.89,88400,947,2613,326.2,1403,452.2,741,8.33
DONvf_8,384.9,0.063,175.4,28.75,157.7,20.83,122.6,23.22,62,8.12,49,15.65,3.15,2.59,98900,381,1165,165.1,814,561,686,7.21
DONvf_9,308.3,2.09,487,19.72,426,54.4,323.6,61.4,159.5,19.34,102.4,14.53,128.7,33.6,80100,1340,3925,519,2354,225.7,1712,13.35
DONvf_10,680,1.34,256.9,41.2,265.7,38.4,247.1,47.6,137.4,19.04,117.9,12.29,20.96,14.65,102200,242.4,880,158.8,905,299.3,1349,16.56
DONvf_11,545.4,0.87,475.9,60.4,502.2,69.2,432.2,84.7,230.6,29.95,185.8,13.3,6.74,7.31,103900,754,2508,384.3,1980,299.5,2438,30.56
DONvf_12,460.3,1.37,271.2,58.7,265.8,35,214,43.81,127.8,18.23,121.9,13.42,52.9,38,95600,439.9,1511,227,1161,262.7,1296,20.11
DONvf_13,557,1.44,663,89,619,83.2,503,95,250.5,33.18,204.8,13.08,23.93,6.23,104900,1569,4390,614,2990,482,2498,28.16
DONvf_14,1184,0.63,124,22.33,103.3,13.26,79.6,15.48,45.98,6.49,41.9,17.05,12.46,6.96,80900,424.2,1072,138.5,625,360.1,475,6.49
DONvf_15,621,0.545,210.4,24.5,310,51.2,343,71.7,207.6,29.4,192.3,11.75,10.69,8.69,106300,59,215.7,48.3,364,252.7,2088,28.3
DONvf_16,340,0.277,97,12.42,85.9,9.75,53.7,9.87,24.09,2.88,16.26,9.881,38.9,22.76,107100,369,937,110.8,521,564,263,2.47
DONvf_17,596,0.3,186.5,32.04,224.6,34.13,218.1,43.18,121.8,16.74,100.5,8.899,5.34,23.29,101000,95.1,339,70.4,466.7,301.3,1219,14.39
DONvf_18,303.4,2.7,335.9,17.15,264.1,34.83,202.3,37.16,93.6,10.98,63.7,8.78,49.7,16.75,98000,1786,3713,435.9,1940,266.2,996,9.18
DONvf_19,320,0.502,359,36.6,350,47.7,291.3,56,148,18.36,102.8,12.08,22.6,6.52,104800,567,1884,276,1472,229,1523,13.42
DONvf_20,427.8,0.517,246.9,45.9,241.8,30.58,173.5,30.27,72.5,8.32,44.7,3.797,2.93,1.446,91300,258,970,169,960,686,823,5.71
DONvf_21,248,1.08,127.1,13.01,111.9,14.16,83.6,16.41,44.9,5.71,34.3,24.83,58.7,23.61,97000,483,1276,156.7,683,387.7,441.3,4.98
DONvf_22,493,1.15,318.3,39.63,247.9,32.38,200.4,39.49,116.9,17.29,113.1,22.58,135.4,59.9,85200,1343,3804,458.3,1865,267.1,1181,17.54
DONvf_23,454,0.171,124.7,14.83,116.3,15.1,89.5,17.79,48.5,6.57,42.5,13.23,24.4,13.79,103400,285.5,843,116.7,582,337.6,478,6.59
DONvf_24,777,9.3,30.1,13.1,29,3.65,20.5,4.43,12,1.44,9.1,9.15,4.8,2.24,90200,314,479,44.6,180,216.6,120,1.79
DONvf_25,537,1.04,169.9,27.5,176.9,23.28,131.4,21.25,51.7,5.87,30.9,6.53,2.91,1.49,90700,235,708,109.4,601,791,548,3.85
DONvf_26,678,2.56,368,21,324,42.9,247.3,47.6,125.9,15.47,87.8,27.82,65.8,52.9,85600,876,2750,371.6,1741,970,1333,11.75
DONvf_27,289,0.45,427,129,439,57.9,306.4,47.7,102.5,9.58,46.1,26.23,1.91,2.74,75200,251,1029,206.2,1298,596.7,1199,4.89
DONvf_28,296,0.271,135.6,26.29,126.9,14.7,78.1,13.42,32.01,3.46,18.95,1.886,0.704,0.649,103500,259.9,761,111.2,597,645,381,2.52
DONvf_29,448,1.28,266,16.59,257.2,34.48,210.3,40.58,107.4,13.9,82,15.31,17.9,11.82,88300,329,1283,206.3,1058,415.4,1150,11.41
DONvf_30,659,0.564,149.1,26.29,166.1,24.1,152.3,31.19,90.3,11.78,74.4,9.81,7.94,9.05,94700,224.5,564,88.3,487,256.9,874,11.58
DONvf_31,500,0.92,146.1,30.4,137.1,16,86.4,14.93,34.53,3.82,19.6,60.1,2,1.078,87500,291.5,780,119.1,632,717,403.4,2.645
DONvf_32,576,3.28,302.5,23.64,255,33.79,211.4,40.45,104,12.27,72.9,11.92,13.52,6.88,85700,1009,2638,348.1,1627,301.2,1085,10.06
DONvf_33,843,1.66,492,65.7,431,53.9,318,59.6,154,18.3,98.6,31.77,33.2,148,90500,1670,4270,534,2410,258.5,1610,12.9
DONvf_34,8340,37.4,204,52.2,207.8,27.6,180,35.5,112.2,16.18,112.3,23.52,49.3,36.6,50000,291,1001,162.4,847,204.4,1072,17.8
DONvf_35,617,0.499,118.6,29.6,92.6,10.47,61,11.18,29.37,3.83,24.04,6.376,33.6,12.59,104700,331,1064,148.4,675,486,316.4,3.62
DONvf_36,986,0.55,401,79.3,499,72.9,421,70.5,156.4,15.93,76.3,9.35,1.56,2.34,84000,137.2,596,130.4,938,676,1673,8.4
DONvf_37,341.4,0.77,531,60.05,514.2,68.8,403.8,75.1,197.9,24.87,143.4,11.272,21.5,7.13,81700,664,2333,379.6,2081,366.4,2005,21.65
DONvf_38,476.5,1.53,414.1,38.55,372.8,47.85,282.8,54.4,147.4,18.92,111.5,25.91,88,133.2,88000,1215,3361,439.8,2035,335.2,1443,15.96
DONvf_39,408,0.703,264,49.4,256,33.28,198.7,38.11,103.7,13.11,80,16.207,83.3,59.1,87500,522,1576,229.1,1198,309,1036,11.91
DONvf_40,4280,7.31,241.6,42.9,207.9,27.2,165.3,31.9,96.4,13.19,83.8,59.6,8.25,50.4,68000,642,1889,265.9,1225,377,898,13.04
DONvf_41,325.4,1.78,215,24,163.6,20.68,121,23.21,63.4,8.36,52,20.8,106.9,84.4,95200,1250,2910,332,1280,368.3,666,7.34
DONvf_42,352,0.149,142.5,30.7,137.2,16.63,94.9,15.98,39.2,4.31,23,6.813,3.35,1.68,94500,213,632,104.9,576,941,441,3.15
DONvf_43,675,5.5,630,170.4,624,87.4,534,102.8,276.6,36.67,226.9,20.3,82.9,36.31,81700,910,2970,458,2414,418.6,2779,32.72
DONvf_44,201.6,0.268,86.2,15.39,76.5,8.04,39,6.79,15.66,1.592,8.6,3.131,3.33,1.011,97700,361,826,101.2,484,395.2,196.7,1.269
DONvf_45,506,0.986,301,68.8,320.5,44.48,265.5,49.1,123,14.72,81,7.54,2.81,1.35,88400,300,1145,195.6,1142,495.5,1282,10.82
DONvf_46,415,0.43,364.2,48.7,311.3,41.7,253.2,50.9,139.7,19.29,116.8,15.88,77.1,45.05,74600,530,2381,362.7,1757,529.2,1425,17.76
DONvf_47,640.1,6.98,936,332.4,801,94.6,499,79.7,174.2,18.54,92.1,15.2,9.69,5.77,76000,1276,4292,715,3990,657.9,2027,10.65
DONvf_48,922,1.69,83.5,15.3,64.2,7.96,45.2,8.55,23.7,3.23,19,7.748,9.4,2.7,90100,521,1101,122.6,515,597.5,239,2.83
DONvf_49,230.7,1.48,669,74.1,604,82.6,503,95,260.1,35.2,208.6,15.78,10.48,4.77,79200,1001,3517,547,2871,460.7,2601,28.58
DONvf_50,296.8,1.75,559,123.9,570,81.8,497,94.9,261,34.1,204,10.76,1.31,2.5,88900,251,1326,281,1790,366.2,2510,29.4
DONvf_51,1676,2.03,383,14.92,616,94,433,48.9,72.6,6.11,24.1,35.63,0.31,5.31,70360,71.2,429.1,103.5,718,254.6,1474,2.27
FRIf_1,342,0.168,305,48.3,239.1,28.5,161.9,30.29,78.8,10.6,62.1,12.29,11.79,4.59,185900,1215,3150,403,1717,444,819,9.05
FRIf_2,563,0.071,3.62,0.211,6.67,1.025,6.32,1.488,4.42,0.597,3.87,5.628,0.011,0.047,186100,0.214,0.84,0.434,5.58,477,34.8,0.678
FRIf_3,267.6,0.023,9.4,3.73,11.84,1.363,8.19,1.78,4.8,0.652,4.24,8.01,0.06,0.3007,196000,47.3,92,11.19,54.6,435,47.5,0.791
