Comment,Mn,Zr,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Pb,Th,U,P,La,Ce,Pr,Nd,Sr,Y,Lu
AGIvf_47,726,0.413,459,63.7,426,59.2,364.5,69.7,200,27.79,178.9,11.36,11.11,7.24,149700,602,2306,358.9,1908,291.1,1989,26.17
AGIvf_48,389.2,0.273,343.4,26.87,305.6,40.2,239.4,44,116.1,14.83,86.6,8.37,21.07,8.76,140900,930,2540,337,1560,232.3,1250,12.28
AGIvf_49,569,0.78,561,55.7,488,64.5,382.2,71,183.7,22.73,126.2,10.78,12.25,4.14,150200,452,2321,415,2232,552,2069,16.21
AGIvf_50,680,1.22,601,61,547,76.4,443,83.2,218.8,27.44,161.9,10.39,49.9,15.27,140200,767,2853,457,2328,355,2278,21.33
AGIvf_51,1160,0.918,60.9,8.6,54.6,6.62,41.4,9.63,33.2,5.26,41.1,13.913,55.8,13.71,149500,3083,3475,211.7,573,96.2,332,8.75
AGIvf_52,681,1.37,825,59.5,699,85.8,492,90.9,230.3,27.96,146.9,11.15,21.7,3.49,146500,2850,7770,1068,4610,305.5,2490,18.88
AGIvf_53,815,0.48,344.5,55.9,352.8,49.9,305.8,57.7,156.9,20.11,123.3,30.38,38.1,11.55,138000,414,1544,237.9,1237,286.1,1601,17.55
AGIvf_54,255.2,0.359,269,41.77,252.3,33.41,199.2,37.28,97.8,12.69,75.7,28,46.2,11.3,129900,1043,1923,270.8,1219,317.8,1050,10.14
AGIvf_55,1062,0.75,781,112.3,701,95.7,585,107.6,287.7,35.51,204.9,43.6,6,3.91,130700,2680,6600,840,3650,331.8,2931,25.6
AGIvf_56,1056,0.324,30.8,5.26,30.86,3.35,19.91,4.42,14.13,1.88,12.7,23.91,13.49,11.73,134300,461,668,57.4,212.7,249.7,152.3,2.57
AGIvf_57,586,1.54,58.1,9.79,60,7.45,43.5,8.82,23.6,3.03,18.72,57.02,8.01,5.56,127900,524,791,76.2,327,183.3,249.5,3.35
AGIvf_58,998,4.64,404,42.6,368.4,45.1,270,49.5,121.7,14.3,76.3,7.436,11.91,2.741,148300,1177,2947,394,1915,462,1303,9.45
