Comments,Al,Sr,Fe,Y,Zr,Nb,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,W,Pb,Th,U
BUR_tivf_5664,12530,65.2,11300,244,37,85.6,5.79,39.8,10.61,82,43.4,16.47,50.7,9.4,60.4,10.56,26,3,17.1,1.64,2.55,90,6.04,0.175,1.033
BUR_tivf_5673,19000,36.6,29900,2414,283.4,1076,806,3041,433.8,2103,492.4,122.2,421,64.6,417,86.4,259.8,40.7,286.3,42.6,36.3,109.4,19.73,531,218
BUR_tivf_5733,38800,45.8,82000,1449,237,149.3,265.4,1094,175.2,896,232,79.8,223.2,35.5,246,53.1,163,26.32,172.2,24.53,14.63,171,8.78,8.59,12.83
BUR_tivf_5736,7100,74.4,3863,432,111.4,117,98.3,370,68.8,421,140.6,53.2,122.8,16.82,94.2,17.56,46.4,6.05,36.9,4.61,8.23,194,13.87,4.93,2.699
BUR_tivf_5759,11180,30.1,2930,83.3,58.8,187.3,16.3,70.1,12.79,74.1,17.8,17.9,18.8,2.3,13.62,3.07,7.36,1.02,6.75,1.17,1.45,74,2.89,0.0496,0.204
BUR_tivf_5787,8960,43.1,3401,250.7,167.8,8.4,0.465,3.76,1.31,11.94,8.5,4.04,15.6,3.9,36,8.9,31.8,5.56,43.6,7.02,10.92,1.51,2.009,0.015,0.0986
BUR_tivf_5867,7750,40.5,7140,1329,133.7,966,292.5,1448,248.4,1313,406,221.3,347,46.7,263,46.1,115.7,15.23,89.1,12.3,8.58,7.3,15.65,114.3,60.6
BUR_tivf_5876,5750,92.6,8260,272,16.1,298,7.1,61,17.8,126,52,9.2,50,7.6,47.8,9,22.5,3.23,17,1.73,2.42,57.5,16,0.298,0.99
BUR_tivf_4212,10440,24.22,10100,475,144.4,201,147,553,93,484,110,51.5,99,13.9,84.7,17.2,47.5,6.96,43.6,6.52,8.48,325,12.81,5.14,5.55
BUR_tivf_5884,9160,66.6,12300,1731,77,246,92.9,565,127,860,291,100.1,323,52.2,340,69.3,186.2,26.03,162.1,22.03,4.66,125,6.6,3.4,9.05
BUR_tivf_5904,7820,21.63,10940,2119,277.2,1351,444,2024,321.3,1656,400,101.3,352.8,49.9,315.2,66.5,194.9,31.98,232.9,39.7,51.7,180,24.58,170.5,342
BUR_tivf_5943,7460,28.92,9650,1086,519,612,1477,4260,518,1769,293.6,89.1,205,29.4,191.4,39.6,118.6,19.33,142.3,20.1,30.7,108,9.38,422,80.9
BUR_tivf_5957,1610000,25000,1120000,380,143,205,930,1690,181,780,127,78,89,12.2,74,16.8,45,5.5,34,3.9,7.3,3600,556,2.73,28
BUR_tivf_5963,14300,64.9,18800,6559,135.3,312.4,25.83,163.4,45.9,364.2,258.7,107.8,458.9,106.8,902,230.7,768,121.8,732,90.5,17.65,131,15.24,0.745,31.47
BUR_tivf_5985,7560,33,8240,1832,266,696,725,2990,459,1906,332,70,241,36.1,248,53.1,175.3,30.3,213.8,31.9,18.89,3,3.097,135.2,45
BUR_tivf_6028,12300,18.5,12800,1079,103,524,2.88,18.5,4.97,40.6,24.4,16.7,48.9,13.55,133.5,38.1,143.3,27.05,193.8,28.82,10.72,281,13.59,0.0538,0.583
BUR_tivf_6031,9010,45.3,2200,172,37,86,24.91,109.8,20.69,126.1,33.6,24.9,31.8,4.97,30.3,6.16,17.84,2.88,20,2.95,2.72,333,5.352,0.122,0.244
BUR_tivf_6034,7270,78,4580,504,79.1,107.9,2.54,21.4,6.09,51.8,29.2,11.42,40.4,9.61,73,17.9,59.5,9.88,66.6,10.3,5.28,254,9.84,0.051,0.787
BUR_tivf_6043,7850,15.1,3320,129,143.6,29.2,11.3,50,10.3,62,19.9,6.2,22.1,3.5,25.4,4.93,13.6,1.92,14.4,1.87,10.32,130,9.76,0.41,0.76
BUR_tivf_4277,6620,24.9,2350,112,103.4,96.1,105,223,27.7,132,26.6,31.1,25,3.47,19.9,4.13,10.9,1.37,9.7,1.61,4.19,22.8,2.738,1.25,1.41
BUR_tivf_6064,19100,18.02,3480,6.07,46.2,73.3,14.44,20.81,1.85,6.5,1.11,14.13,1.14,0.157,1.06,0.21,0.7,0.086,0.41,0.082,1.65,227,23.59,0.0371,0.508
BUR_tivf_4144,13640,25.39,3540,1014,164.9,368,211,955,161,882,218,104.3,199,27.5,177,35.5,98.3,14.25,93.4,13.3,9.57,637,9.56,8.65,15
BUR_tivf_4203,98000,75,205000,1119,1016,591,1060,3060,370,1570,301,58.8,224,34.1,210,39.9,120.9,19,126.2,18.4,51.5,461,14.07,73.1,63.6
BUR_tivf_4243,4940,265.5,1447,185.5,150.4,412,259.3,816,97.5,412,73.6,27.37,55.6,7.21,40.7,7.5,18.4,2.36,16.1,2.04,7.81,1.29,4.851,28.38,8.03
BUR_tivf_4278,9060,51.4,7150,4290,304.9,1623,350,2020,418,2790,1050,214,1081,167.6,953,171.9,416,53.6,307,35.1,25.4,103,40.57,128.3,142.9
BUR_tivf_4357,6700,53.8,2210,2739,257.9,409,702,3196,610,3441,830,93.5,710,97.9,572,106.8,271.1,36.7,208.9,27.03,18.12,27.2,4.92,10.82,11.64
BUR_tivf_4399,6640,17.84,9460,3403,319,1011,684,2794,453,2346,656,114.6,589,91.8,603,122.5,336.8,51.7,337.6,46.9,33.9,10.2,5.713,221.8,73.3
BUR_tivf_4560,6170,17.75,8510,3429,295.4,1379,731,2970,470,2476,670,120.5,606,96.2,617,126.4,364,54.5,361,48,33.05,50.2,9.376,287.1,102.7
BUR_tivf_4573,7670,35.6,9100,1314,268,551,805,3160,428,1593,254,57.7,178.1,26.8,173,40,134,22.6,186,28.6,19.26,16,3.768,135.4,45.1
