Comments,Al,Sr,Fe,Y,Zr,Nb,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,W,Pb,Th,U
ACA_tif_4398,6060,76.1,6640,192.8,792,304,224.6,502,43.8,131.5,21.9,15.88,20.8,3.84,26.9,6.21,20.6,3.39,27.3,3.77,28.4,59.8,41.1,18.44,23.04
ACA_tif_5062,8440,34.2,8160,3540,269.5,1337,309,1875,384,2465,784,172.1,692,111.2,691,132.4,355,54.6,353.2,42.6,15.52,21.3,6.107,30.52,17.58
ACA_tif_5100,9090,12.92,5060,393,102.9,326,132.9,447,65.2,291.1,63,64.5,47.9,8.39,56.9,12.33,38.8,7.39,54.9,8.53,5.28,45.8,11.63,3.21,13.23
ACA_tif_5121,5060,3.601,4570,1545,71.4,1156,215.2,818,120.7,594,178.7,120.6,189.7,33.5,239.6,50.6,152.4,21.31,138.8,17.97,3.22,13.6,3.079,3.3,5.37
ACA_tif_5148,6660,17.9,3480,2143,34.1,737,168.8,1002,214.6,1321,430,117.1,404,65,421.1,78.8,228.7,32.7,202.2,25.47,6.99,54.6,6.588,18.47,18.35
ACA_tif_5240,11170,13.38,6590,88.4,64.5,767,0.328,2.26,0.348,3.32,4.21,0.97,8.7,2.13,15.5,3.42,10.47,1.55,9.4,1.15,2.52,247,3.65,0.0072,0.79
ACA_tif_5241,8570,12.81,6908,268,56.8,201.6,9.66,56.9,13.52,83.4,35.3,14.1,36.9,6.45,43.1,8.77,25.6,4.08,30.5,4.81,5.53,24.8,6.281,1.096,17.43
ACA_tif_5308,15770,2.78,9040,306,1395,1540,24,160.3,36.1,206,55.4,14.01,49.1,7.85,55.8,11.49,33.5,4.86,29.7,3.2,37.9,61.1,5.022,11.19,19.5
ACA_tif_5313,8640,21.09,7100,113.8,76.2,305,1.02,6.57,1.68,10.4,6.94,6.55,9.03,2.01,15.8,3.88,14,2.46,21.4,3.43,5.67,8.9,2.73,0.0239,1.025
ACA_tif_5387,6870,31.94,6590,484,401,1427,475,1409,165.9,610,105.8,141.9,77.8,11.2,75.9,15.3,49.2,9.26,76.9,12.4,21.08,280,33.85,26.37,180.1
ACA_tif_5451,9640,19.27,6370,12.9,10.4,190.7,2.27,3.71,0.51,2.3,0.59,0.33,1.37,0.285,2.64,0.55,1.46,0.294,2.02,0.26,0.71,150,9.21,0.174,0.216
ACA_tif_4501,8880,15.62,7310,988,174.8,654,84,340,60.5,326,113.1,69.5,111.3,21.6,148.9,31.5,103.1,18.8,145.2,23,9.69,52,6.185,7.63,26.33
ACA_tif_5473,5990,40.6,4920,402,243.6,828,522,1605,181.2,682,110.2,131.1,69.3,10.02,66.5,12.91,40.5,7.62,65.7,10.14,13.69,32.9,19.26,17.17,132.7
ACA_tif_5530,6600,14.7,120800,236,20.9,27,20.4,80.1,14.5,82.1,25,3.93,26.8,4.99,40.2,9,29.3,5,36.1,5.2,1.23,441,14.31,0.896,1.186
ACA_tif_5595,11310,92,11090,2210,115.7,436,182.9,1013,205.8,1220,387,115.8,365.8,63.8,435.1,85.7,260.3,39.09,274.8,36.13,12.76,228,57.79,4.58,27.6
ACA_tif_5628,11690,5.78,2265,2016,463,586,556,2040,307,1455,341,38.8,313,50.4,348,69.7,206.7,31.7,199.9,27.3,36.9,104,60.64,199,144.4
ACA_tif_5634,5070,28.7,5300,2570,323,1530,612,2640,438,2400,595,182,488,76.3,479,89.3,262,37.4,246,31.7,18.35,13.8,10.39,90.3,57
ACA_tif_5667,7540,48,6440,2440,699,2370,290,1538,296,1720,514,118.2,451,72.7,471,89.4,266,41.6,273,34.2,51.9,14.7,4.756,50.6,9.78
ACA_tif_5686,10370,18.64,8180,6.01,86.3,382,0.088,0.18,0.014,0.17,0.11,0.271,0.2,0.069,0.56,0.167,0.83,0.215,1.67,0.414,6.07,64,3.781,0.004,0.0636
ACA_tif_4459,18120,13.38,13450,2530,2870,2006,1631,6080,882,3610,657,59,514,76.8,481,91.6,265,35.4,212.1,24.2,116.9,29,73.68,372,69.8
ACA_tif_4484,7420,15.46,7640,1089,247.1,1470,106.9,478,84.6,451,134.9,51.7,127.9,22.6,161.5,34,116.6,19.18,150.9,23.23,31.15,15.8,45.12,47.5,356
ACA_tif_4517,8430,25.54,9090,3740,461,1750,950,4570,757,3640,868,181.7,753,108.5,756,147,420,68,437,56.3,33.1,69.5,49.7,304,307.6
ACA_tif_4545,5430,10.79,4660,585,118.8,646,289.8,946,136.2,580,115.4,145.8,96.4,14.15,97.7,19.72,62.4,10.04,78.5,12.43,7.74,65,6.81,1.668,5.6
ACA_tif_4527,12390,8.8,3560,2470,1260,633,1891,5900,762,3310,618,63.2,473,70.1,443,87.8,243.8,36,239,29.9,56.1,2.9,112.16,595,99.4
ACA_tif_4702,14050,7.71,7410,1855,1737,711,757,2570,355,1673,401,58.3,349,52.7,361,70.3,210.1,30.4,207.2,28.3,100.8,110.6,248.14,471,349
ACA_tif_4721,6420,17.22,8120,495,227.2,471,385.8,1091,125.1,470,87.7,51.3,65.5,10.2,71.1,15.02,48.3,7.92,66,10.56,12.52,25.3,7.22,33.1,30.22
ACA_tif_4731,7210,19.96,7040,6130,265.5,1912,299.8,1895,399,2496,918,175.8,934,165.4,1135,221,641,96.9,650,87.2,37.86,66,26.15,87.3,169.3
ACA_tif_4753,5020,22.22,5920,2670,337,1052,523,2650,422,2166,554,142.6,483,77.4,514,97.2,279,42.9,294,41.2,31.7,9.2,22.74,163,160.5
ACA_tif_4762,18390,13.74,14280,2980,2689,1616,2370,7620,1094,4250,752,67.9,583,88.3,557,111.2,324,44.9,262,30,104,26,90.86,549,68.6
ACA_tif_4952,17160,11.29,8750,1964,3200,729,676,2320,321,1451,358,50.5,331,55.6,376,75.4,220,33,225,28.5,101.5,135.9,286.95,384,408
ACA_tif_5086,17580,12.09,14960,2670,2710,1714,2133,7040,959,3870,693,61.6,512,78.1,489,93.7,290,39.2,240,26.9,104.5,45.2,93.22,526,77.9
ACA_tif_5224,17680,11.8,13930,2590,2740,1643,2225,7340,993,4080,679,60.5,503,72.1,452,88.8,263,36.8,225.4,25.6,103.4,36.4,89.36,495,73.6
ACA_tif_5437,6840,35.42,12330,5790,498,1294,2486,10600,1726,8620,1775,226.3,1340,196,1232,225.5,641,83.7,489,55.2,34.9,1.25,6.948,153.8,19.28
ACA_tif_4614,8810,28.82,5590,191.5,290,1223,13.06,63.4,14.02,86,28.8,28.8,29.1,4.58,30.1,6.7,19.4,3.41,23.3,3.94,13.21,155.1,7.35,0.507,5.09
ACA_tif_5453,7870,32.81,13280,8040,776,1343,3200,12460,1979,9550,2109,226.4,1760,265.4,1664,313,862,116.6,696,81.3,55.4,13.5,8.719,180.9,20.98
ACA_tif_5498,25950,35.19,33100,6980,734,2278,3202,12460,2084,10670,2330,270,1827,259,1494,271.8,684,88.2,508,64,33.72,61.8,44.85,164,26.16
ACA_tif_5721,17130,6.23,9520,318,140.7,771,0.58,2.94,0.74,5.98,3.46,5.05,12.1,3.66,40.6,11.22,43.4,7.65,50.9,5.69,3.36,234,3.069,0.0674,0.639
ACA_tif_5767,21600,16,36100,29200,810,5430,2810,9190,1451,7680,2747,130,3558,696,5190,1099,3360,458,3050,355,69,112,162.9,497,211
ACA_tif_4636,8280,23.06,7390,826,149.7,1727,109.1,449,76.8,422,126.9,137.5,120.4,19.11,132.3,26.7,82,12.97,97,14.09,9.15,1310,73.5,2.12,39.6
ACA_tif_4820,8980,18.24,6840,147.8,104.7,192.8,21.57,89.6,16.41,86.5,24.6,46.9,20,3.52,21.2,4.44,14.88,2.34,17.09,2.81,6.74,130,9.35,0.184,7.89
ACA_tif_4842,8040,23.34,6990,2402,314.8,723,459,2194,368.7,1912,515,128.6,426.2,68.5,448,87,257.9,39.14,266.8,35.2,18.26,70,19.25,97.6,52.5
ACA_tif_4847,10120,27.96,5979,85.9,119.5,278.4,89.4,193.5,22.88,78.3,15.6,28.8,11.8,1.82,12.51,2.5,8.33,1.68,12.71,2.44,4.72,19.9,5.664,0.493,3.8
ACA_tif_4882,7650,19.52,12830,3225,566,1301,2896,8400,1021,3873,702,91.9,556,84,542,110.4,335,51.8,356,49.3,49.4,248,25.24,287.5,44.86
ACA_tivf_14239,12800,23.8,11640,707,137.3,292.9,770,1990,247,1059,188.4,70.8,135.5,20,123.2,24.8,67.9,9.47,58.2,7.42,5.12,100,7.94,52,3.2
ACA_tivf_14716,1154000,86600,940000,31,7,150.2,28.2,37.7,4.5,17.2,2,14.6,1.4,0.6,4.1,0.43,2.5,0.4,1.7,0.3,2.1,734,1172,0.131,0.67
ACA_tivf_14731,6990,50.9,6440,1260,335,994,859,2620,348,1547,332,75.7,259,39.1,234,47.6,127.9,17.06,106.9,14.63,22.27,35.2,11.14,90.3,14.24
ACA_tivf_14958,8820,38.4,8530,1436,449,1414,260,1193,187.7,976,246,119.3,215.6,37.1,240.2,49.9,151.5,23.77,173.3,25.3,33.5,57,6.38,8.3,20.66
ACA_tivf_14990,9320,29.47,21900,350,61.1,984,2.01,11.29,2.82,18.65,11.52,4.23,21.9,5.64,50.9,13.06,44.2,7.61,52.1,8.17,2.7,19.5,12.12,0.2,10.34
ACA_tivf_15019,1530000,2660,4660000,1840,3670,280,218,1068,230,1450,392,82,352,57.1,383,67.2,207,24.1,138,18.4,192,1550,217.1,10.5,9.9
ACA_tivf_15046,10970,23.7,36700,972,144.5,3030,61.7,163,24.6,125,46.9,21,77.9,19.4,163,38.3,126.7,19.7,128.1,19,8.6,13.4,7.31,5.17,17
ACA_tivf_15155,10780,66.3,6930,2031,375.3,626,609,2768,476,2291,496,116.7,395,58.7,358,69.5,184.9,24.53,139.5,18.59,18.52,33.7,10.1,1.35,5.78
ACA_tivf_15164,6860,37.29,6090,794,572,1975,698,2081,251.2,961,168.3,189.5,117.4,17.84,113.7,24.84,76.2,14.21,114.4,18.03,30.36,65.3,31.08,40.19,241.2
ACA_tivf_15232,9080,16.4,11840,754,116,691,53.9,187,34.6,195,68,27.8,75,14.9,110,26,84,14.6,113,16.7,11.6,461,18.96,6.19,34.3
ACA_tivf_14298,9420,21,6950,2031,156.8,1468,27.4,112.5,26.1,197.3,118.4,112.5,171.9,37.2,281.8,64.3,204.1,35.29,268.2,41.8,23.2,19.9,5.96,0.879,24.94
ACA_tivf_15235,3470000,10700,93000000,1640,3040,390,1160,3260,420,2370,500,51,300,20,220,29,134,24,450,109,237,29200,3160,50,35.9
ACA_tivf_15310,7740,4.51,5870,227,284,1846,176,387,42,166,32.6,41.3,29.6,5.08,34.8,7.76,23.8,3.9,27.8,4.78,7.32,88.9,29.33,1.903,186
ACA_tivf_15364,9050,16.11,3334,5.95,36,285,0.48,0.54,0.202,0.83,0.18,0.4,0.45,0.094,0.86,0.238,0.96,0.175,1.75,0.252,3.19,93.7,4.841,0.0339,0.786
ACA_tivf_15593,23100,37,7990,1602,336,3680,105.7,597,122.1,746,225.4,156.8,234,37.4,272,58.7,196.7,35.4,287,49.8,14.12,133.3,16.79,3.48,33.5
ACA_tivf_15647,8160,54.8,6490,749,118.8,268.7,35.1,201.7,47.6,305.4,111.2,25,110.8,19.7,138,27.8,79.5,12.01,77.1,10.51,8.32,21.7,7.87,0.785,1.9
ACA_tivf_15680,5780,28.78,10100,930,158.1,390,135,574,98,519,143,57.5,137,23.3,155,33.1,95.6,14.8,101.2,14.4,7.76,25.5,14.35,23,20.8
ACA_tivf_15701,8190,24.9,11260,3043,344,1467,1779,5760,801,3170,611,88.1,468,75.4,496,105.1,315,52.2,369,54.9,34.5,154,41.15,256,182.8
ACA_tivf_15709,8780,27.16,12600,1420,100.7,154.6,351,1527,235.9,1111,249.1,59.4,200.3,33.76,224.1,49.7,149.6,25.03,175.4,24.9,6.05,102,7.06,6.2,12.97
ACA_tivf_15839,10800,15.14,11240,1420,81,339,3.54,35.9,14.41,138.1,98.2,68.8,141.3,29,217.2,49.8,150.9,24.06,163.5,24.4,9.82,30.8,28.63,0.469,9.11
ACA_tivf_15854,6100,12.68,5610,893,80.4,1051,57.3,160,26.9,168,72.8,57.7,91.8,17.09,124.5,28.1,91.1,14.86,112.1,17.84,14.81,33,28.33,45.9,209.2
ACA_tivf_14316,16690,12.28,16100,8610,129.4,1348,101.8,865,246.6,1813,897,83,1092,211.7,1553,330.4,950,141.7,870,111.9,13.85,184,33.9,10.4,10.7
ACA_tivf_15976,6040,57,4190,107.6,225,488,10.53,63.6,12.81,79.2,24.5,6.07,23.8,3.52,20.6,4.18,11.47,1.5,9.69,1.43,6.4,35.1,4.95,0.768,0.815
ACA_tivf_16029,64100000,819000,41000000,62500,11900,37,3570,11200,1980,8490,2820,3130,3890,804,7800,1980,6780,949,6260,781,884,24000,71200,30.6,58.9
ACA_tivf_16097,6980,19.62,9640,2698,374.5,1143,1270,4636,633,2519,463,91.1,364.9,58.5,393.5,86.1,274.1,45.24,322.6,45.11,29.03,57.1,18.19,198.8,55.01
ACA_tivf_16133,6260,20.57,5610,472,156,583,656,1582,163.4,608,98.5,86.8,71.7,10.98,70.8,14.91,46.5,7.53,57.4,9.03,5.59,63.9,9.466,19.16,35.6
ACA_tivf_16184,13290,4.41,8130,270,226,417,3.86,32.6,8.8,62,25.6,8.5,29.4,5.46,37.6,8.87,27,3.78,29,3.89,14.52,16.8,2.968,19.5,9.8
ACA_tivf_16248,8050,25.27,8220,577,256,737,111.1,468,80,390,98.8,78.9,82.1,13.8,91.4,19.01,57,9.66,75.3,11.7,26.1,56,6.049,2.15,27.7
ACA_tivf_16289,360000,440,890000,788,2070,180,40.6,230,53.3,352,123,39.5,114.8,19.3,124.2,29,92.3,13.8,95.2,12.8,67,720,51.8,14.7,24.4
ACA_tivf_14285,25400,224,15300,6930,43.6,1782,25.4,220.5,71.8,588,429,94.7,680,151.1,1147,247,683,95.3,550,63.4,4.87,52.2,13.81,2.38,22.06
ACA_tivf_14444,10380,53,8200,2860,158.7,606,334,1361,219.9,1192,368,92.9,380,66.6,447,97.1,295,50.1,356,52.5,10.23,22.7,10.24,3.5,6.72
ACA_tivf_14353,7700,76,38800,60.9,38.7,66,9.8,33.8,6.14,26.9,7,2.1,7.4,1.52,10,2.24,7.4,1.32,10.1,1.86,1.73,170,10.81,0.0302,0.177
ACA_tivf_14466,26200,313,133000,2150,112,870,23.5,120,23.6,126,52,45,71,21.9,227,65,270,57,460,58,3.5,107,40.48,1.5,2.28
ACA_tivf_14705,6440,15.45,6380,1304,138.5,1708,114.1,539,100,527,166.4,58.4,150.9,26.52,181.2,39.7,125.5,21.93,164.8,25.62,14.21,8.3,39.88,57.6,333.2
ACA_tivf_14855,16160,7.41,20990,3894,1229,478,1493,5800,781,3567,800,78.6,683,105.8,718,138.9,390,55.7,357.2,46.1,58.4,68.5,114.99,464.2,119.9
ACA_tivf_15193,12980,25.2,9760,1482,402,5190,6.67,21.93,5.08,39.9,35.2,65.3,77.1,19.04,172.3,43.8,151.1,28.68,211.3,31.95,25.7,429,103.75,0.595,29.1
ACA_tivf_15216,8790,37.1,7280,2840,561.1,3988,192,1123,222.9,1236,378,264.4,334,59.3,401,87.1,280.6,50.4,379,54.2,43.2,33,60.06,7.06,496.4
ACA_tivf_15419,6300,41.2,6240,1913,276,912,472,2099,327,1706,428,81.7,367,55.5,362,71.1,197.7,27.8,175.7,22.29,16.16,31.1,6.098,73.5,15.1
ACA_tivf_15482,9280,19.51,8880,3600,300,1287,323,1760,359,1910,613,157,565,102.2,653,133,391,62.8,441,54.4,19.65,177,44.08,17.64,241
ACA_tivf_15695,8150,15.25,6740,3020,117.3,550,109,638,143,932,356,128,406,73.3,511,109.5,326,49.1,337,48.1,9.54,21,7.207,11.21,23.9
ACA_tivf_15712,10800,23,6490,419,143,3783,7.68,32.3,6.78,45.2,19.7,26.38,27.7,6.29,47.4,12.11,42.7,8.25,60.6,9.23,8.46,117,29.28,0.466,4.42
ACA_tivf_15913,5550,25.8,13700,661,128.8,135.8,124.4,476,78.8,419,109.4,28.5,104.1,16.84,114.7,23.4,70.9,10.78,74.5,11.18,7.44,68,11.47,5.81,3.68
ACA_tivf_14359,17300,54,16200,838,184,1027,288,1169,157,671,144.1,141.3,122.2,20.9,136.2,28.1,81.3,13.09,89.7,12.38,11.05,110.7,43.07,7.46,14.13
ACA_tivf_15940,1530000,297,5500000,3490,850,18.8,98,630,122,990,334,52,434,78,595,124,337,53,320,45,84,3420,77.2,19.6,24.2
ACA_tivf_16113,8150,25.07,5650,23.1,229.1,752,1.1,4.5,1.033,5.74,2.51,3.99,2.81,0.473,3.91,0.758,2.61,0.456,2.75,0.59,8.07,39.7,4.918,0.016,0.612
ACA_tivf_14409,9090,2.65,6010,30,54.6,765,42.3,91.2,10.18,38,6.5,15.1,5,0.7,4.21,0.86,2.46,0.378,3.49,0.62,1.39,37,6.1,0.253,0.276
ACA_tivf_14509,35000000,373000,21500000,211,1050,157,178,237,41,201,40,151,37,0.64,41,9.1,4.1,0.02,9,0.0000302,80,7500,28700,3.6,3.7
ACA_tivf_14558,17100,134,14800,1034,163.2,986,180.7,710,116.7,604,162.7,76.6,146.5,24.5,163,33.9,102.9,16.81,128,19.71,23.26,266,27.72,7.17,74.1
ACA_tivf_14699,12100,55.6,17200,424,76,548,2.23,13.49,3.82,27.3,19,5.54,32.8,7.43,62.6,14.86,46.6,7.17,44.7,5.32,3,60.7,2.92,0.0301,0.151
AGI_tif_10011,5340,23.09,8510,1292,409,1405,2670,6850,705,1990,251,101.4,176,25,156.9,36.3,123.4,22.6,182,32.1,28.57,1.46,11.541,214.9,34.5
AGI_tif_10182,5540,3.31,11090,1636,460,3160,5390,7950,523,1436,279,22.9,256,40.9,265,52.7,159.9,26.3,206.1,40.8,73,13.31,43,273.3,332
AGI_tif_9791,11900,52,12600,4190,618,1557,2980,9980,1426,5370,913,121.6,713,101.6,679,139.6,415,64.9,435,56.6,45.7,214,62,198.1,26.68
AGI_tif_9792,17320,454,13220,1578,3570,593,819,4210,778,4020,829,182.5,530,68.9,379,65.2,172.3,23.14,140,16.84,114.1,111,76.1,366.4,51
AGI_tif_9813,7360,25.65,10080,2913,447,1629,2723,6910,851,3440,665,136.2,562,82.1,531,104.3,293,43,283.9,41.8,38.9,224,42.37,529,112.2
AGI_tif_9823,8640,18.43,13320,1846,611,1152,2594,6720,686,2156,312,62,248,36.7,252,55,185.9,31.5,243.3,39,45.4,237,66.7,253.4,52.2
AGI_tif_9854,8580,10.88,19000,2164,585,1667,3303,8360,879,2634,353,51.7,305,44.1,301,66.4,217.5,36.1,273,40.7,51.9,178,28.23,326.5,42.1
AGI_tif_9871,9180,11.3,22900,1500,312,1030,1280,3860,532,2020,335,18.3,275,40.1,272,54.8,160,24.7,169,23.3,18.26,282,114.6,77,57.4
AGI_tif_9964,9080,19.24,13300,713,877,842,2163,3810,336.3,1140,169.7,50.8,140.6,18.39,115.9,24.29,71.6,11.56,88,15.74,42.88,751,145,1175,336.8
AGI_tif_10260,9070,13.48,4210,413,220,1225,24.5,186.2,44.7,269,85.4,29.5,78.5,12.38,78.3,14.14,37.8,5.6,36.4,5.4,7.07,36.3,10.49,5.93,3.18
AGI_tif_10291,15930,4.6,10310,513,127.8,167.2,873,1297,114,442,88.9,24.59,81.8,12.37,82.6,17.03,51.7,7.83,58.3,10.04,12.11,97,23.55,73.3,65.5
AGI_tif_10295,5440,15,9160,1703,383,542,942,2740,339,1335,266,78.4,244.8,42.5,275.7,58,170.8,28.3,182.6,26.4,22.2,97,21.07,148.4,46.8
AGI_tif_10322,5520,9.2,7810,1760,439,1287,3730,7420,777,2780,460,54.3,345,49.1,306,60,181,26.2,187,28.8,26.9,33.9,42.71,764,276
AGI_tif_10344,7280,27.22,8270,2001,387.7,1210,1087,3618,533.5,2334,514,135.1,411,62.1,387.7,72.5,201.7,29.31,183.3,24.29,17.16,73.6,10.103,25.34,9.17
AGI_tif_9030,5780,11.11,8640,1536,411,534,1270,3500,397,1496,258.4,70.7,215,33.9,230.8,50.9,160.9,26.28,182.1,26.2,20.7,151,26.01,181.9,61.8
AGI_tif_9050,3803,8.07,6270,509,1740,439,573,1570,184,843,160,33.1,117.9,19.2,118.8,19.3,45.6,6.1,32.7,3.43,28.3,50,2.414,11.88,6.21
AGI_tif_9110,5490,44.5,7990,2095,747,1081,2577,6260,727,2833,502,117.7,415,60.4,382,76.5,211.8,30.3,199.9,27.59,52.7,2.87,20.385,524,70.4
AGI_tif_9114,5320,26,9710,2840,624,2060,3490,9280,1054,3700,488,109.4,375,57.4,378,83.9,254,44.6,322,46.8,49,49,10.92,242,25.7
AGI_tif_10015,7140,21.06,11610,1644,587,876,2490,6360,631,1873,256.2,62,205.9,30.44,213.7,47.74,164.6,29.98,239.1,40.66,41.25,39.8,12.137,222.9,32.66
AGI_tif_9202,6520,22.14,11750,2559,1025,1945,2662,8020,955,3420,492,68.3,364,55.5,365,79.7,256,42.28,302.6,43.2,105,45.7,26.72,243.1,37.2
AGI_tif_9243,7200,27.95,10730,3340,555,843,2019,6410,923,4180,861,136.2,708,104.1,629,118.2,321,47.4,284,35.9,37.3,5.7,8.193,158.5,23.15
AGI_tif_10300,13000,35.5,27500,7520,672,1272,3177,12320,1985,9100,1899,212.6,1540,232.6,1505,276.7,757,105.6,624,74.2,46.71,72,15.94,171.7,21.27
AGI_tif_10314,7080,20.1,11850,3570,592,1142,3140,9440,1203,4330,693,95.8,507,81.4,533,112.9,346,55.6,380,56.7,46.1,7.1,12.69,213,40.4
AGI_tif_10321,6650,17.92,8610,4299,458.9,1415,1702,6201,924,4129,867,137.2,763,122,798,157.6,456,68.4,427.6,57.5,33.18,12.57,12.476,272.5,41.22
AGI_tif_10325,9320,29.4,16220,6910,673,1273,2580,11090,1910,9520,2141,229,1650,261,1636,277,731,98.4,565,62.8,46.6,326,66.1,165.7,23.83
AGI_tif_8992,14520,26.9,15600,1289,1544,152.6,178.5,578,93,508,168.7,46.1,192.5,32.8,225.5,45.4,136.9,19.5,122.4,15.69,56.3,266,23.98,49.5,26.37
AGI_tif_8993,8020,27.1,11640,3670,613,1670,2980,9580,1279,5150,937,131.8,717,106.6,693,130.2,385,52.6,329,38.7,46.1,125,103.5,275.6,37.6
AGI_tif_8999,6390,24.24,10330,2769,602,1403,2643,7540,927,3554,610,107.5,487,74.6,490,96.9,285,43.2,290.4,40.2,44.95,23.9,14.22,243.4,31.51
AGI_tif_9007,10480,5.79,7130,4900,671,1639,676,3870,713,3670,873,46.8,807,138.5,969,178,506,70.9,413,47.9,51,40.9,37.4,160.7,38.6
AGI_tif_10109,5360,32.3,8740,1510,441,948,2370,6790,745,2570,354,83.9,257,38.2,232,49.8,154.3,24,174,24.7,34.1,3.65,11.644,270,42.3
AGI_tif_9019,14670,38,15090,1888,2090,171.6,239,744,116.5,629,217,57.3,259,45.8,321,66.1,191.6,28,173.4,20.5,78.5,82,33.55,62.1,40.9
AGI_tif_9025,6660,25.98,10420,3590,424.9,1317,2482,8790,1228,4900,791,159.8,588,88.3,586,119.7,359,57.6,389,48.9,27.46,177,23.85,116.7,16.83
AGI_tif_9048,8510,43.5,12590,4050,679,1191,2466,7810,1038,4340,839,131.9,694,102.4,689,140,417,61.2,427,60.2,56.6,43.8,75.7,206.2,36.7
AGI_tif_9051,13260,29.21,22260,23430,576,2735,2064,10770,2130,10750,2916,194.7,2720,526,4080,838,2536,354.3,2107,219,41.5,273,76.2,188.1,37.85
AGI_tif_9055,18980,21.63,23700,181,203.1,9.83,82.8,154.4,18.87,81.4,22.8,12.11,25.5,4.29,30.9,7.01,20.5,3.75,28.3,4.44,6.58,73.9,7.05,2.152,1.449
AGI_tif_9070,7940,10.97,15100,3720,625,1460,2620,9270,1243,4850,801,80.1,591,91,610,122,374,58.2,387,49.9,133,16.4,21.47,140.9,21.58
AGI_tif_9076,6730,10.95,12010,2563,2090,2587,2410,7170,854,3085,508,54.6,402,61,397,84.3,260.6,44.3,323,47.9,297,113,73,268,51.5
AGI_tif_9078,8040,30.1,14260,7250,708,1330,3330,12950,1978,8900,1830,203,1463,225,1447,271,735,105.7,631,74.1,51.7,1.88,8.027,180.5,20.94
AGI_tif_9136,4620,10.11,7670,2485,1186,858,2160,4670,516,2190,470,76.9,427,66.2,438,85.8,258,38.1,257,38.4,67.1,22.7,23.41,177.7,106.4
AGI_tif_9158,6250,5.84,9720,3790,359,3900,730,3110,498,1980,534,37.6,469,75.8,499,116.3,372,66.2,496,63.4,79.9,104,17.92,101,37.4
AGI_tif_10124,8740,21.49,7080,779,238.2,1246,144.3,508,77.4,364,96.6,87.4,90.6,15.21,100.7,23.86,78.7,13.59,111.1,19.53,17.38,32.7,12.891,9.18,72.3
AGI_tif_9161,8700,25.39,14430,4660,499,1119,2079,8220,1311,5800,1091,157.6,859,133.2,865,164.4,472,69.3,428,51.2,32.55,275,33.58,121.6,21.66
AGI_tif_9180,10100,34.6,16570,5870,674,1163,3098,10950,1604,6920,1270,159,1030,153,1014,205,581,86.5,549,69.9,47.29,217,110.4,179.9,24.09
AGI_tif_9182,6510,14.36,12490,5160,443,1672,2200,8660,1405,5910,1091,143.8,872,139.6,915,183,526,79.8,487,56.3,33.5,83,21.95,119,17.82
AGI_tif_9214,17720,40.52,10410,1018,5220,781,586,2092,284,1278,279,45.8,219.8,33.1,207.2,38.9,98.9,13.34,74.2,8.67,163,83,92.45,185.5,98.7
AGI_tif_9234,5790,6.52,7810,659,67.6,127,459,1292,148.9,621,118.8,22.7,105,15.77,110.2,23.54,69,11.41,85.1,14.29,6.57,19.9,4.389,40.7,17.07
AGI_tif_9280,8010,14.1,12670,3144,556,1346,3220,8560,974,3520,607,76.8,480,74.4,495,99.5,304.5,49.5,351.8,51.8,48.7,76,22.54,304,49.1
AGI_tif_9282,9750,26.86,17410,3880,643,1110,2681,8420,1141,4710,918,133.7,739,111.8,737,138.4,384.2,56.6,354,46.4,45,55.1,42.28,212.4,29.06
AGI_tif_9291,8680,27.86,12710,3130,692,1516,3060,9010,1166,4410,717,107,559,83.3,548,109.3,324,49.8,338,46.5,51.7,447,85.4,253.5,33.14
AGI_tif_9329,5060,13.76,9620,1708,34400,1668,3448,7170,714,2316,364,59.7,272.4,40.5,267,55.7,175,29.6,239.6,42.9,860,114,123.7,1393,623
AGI_tif_9364,9180,28.4,11040,2050,336,1680,809,2340,278,1185,270,48.1,239,42.3,319,68,229,37.8,284,40.8,17.3,170,16.11,57.5,47.8
AGI_tif_10139,7410,27.03,12500,4400,663,1262,2978,9890,1351,5410,893,124.3,697,104.8,700,143.9,447,69.9,465,61.7,46.9,103,31.3,192.3,26.3
AGI_tif_9375,7770,29.4,13330,7620,800,1482,3270,13210,2029,9610,1830,193.4,1481,225,1443,287,775,108.8,649,72.6,53.5,27.6,11.25,198.5,22.9
AGI_tif_9443,17510,38.4,16790,1947,2264,239.5,276.8,843,123.5,653,214.7,56.4,259.5,45.9,324,70.8,207.6,31.58,199.1,24.84,70.7,74,35.2,71.7,37.65
AGI_tif_9469,7730,10.6,13320,2220,476,2440,3630,8240,760,2240,341,44.9,282,41.6,283,62.3,216,39.1,337,63.5,76.2,11.5,33.65,310,206
AGI_tif_9484,7880,15.51,10520,4410,1275,2562,1915,6410,898,3770,805,101.6,689,114.2,753,162,469,75.1,512,70.6,88.2,18,21.196,570,102.5
AGI_tif_9500,20000,203,21600,2060,383,2020,4030,8800,770,2190,289,48,236,35.7,249,53.5,193,39,351,69.3,56.3,49.5,108.7,230,271
AGI_tif_9521,13800,25.08,16430,2801,355.9,632,1032,3670,570,2795,681,78.5,606,92.4,568,103.7,271,37.62,217,28.1,20.69,73.8,7.18,17.7,6.7
