ACA,AGI,BAD,BUR,COR,DON,FRI,FUN,GAT,GUC,JER,MAR,PAL,PRO,RAN,SEV,TAP
221.8,,,,,,,,,,951.2,,202.3,,,,
233.3,,,,,,,,,,953.0,,203.0,,,,
247.8,,,,,,,,,,953.8,,203.3,,,,
250.0,,,,,,,,,,955.5,,204.5,,,,
279.7,,,,,,,,,,960.7,,205.3,,,,
388.1,,,,,,,,,,967.5,,207.1,,,,
653.2,,,,,,,,,,984.7,,207.7,,,,
853.1,,,,,,,,,,986.7,,209.1,,,,
969.0,,,,,,,,,,1029.2,,209.4,,,,
138.8,,,,,,,,,,1038.3,,209.7,,,,
145.0,,,,,,,,,,1041.7,,213.3,,,,
160.8,,,,,,,,,,1048.1,,216.2,,,,
181.7,,,,,,,,,,1056.5,,218.6,,,,
206.0,,,,,,,,,,1074.9,,218.8,,,,
232.1,,,,,,,,,,,,219.1,,,,
256.7,,,,,,,,,,,,219.4,,,,
974.4,,,,,,,,,,,,222.4,,,,
,,,,,,,,,,,,225.7,,,,
,,,,,,,,,,,,228.1,,,,
,,,,,,,,,,,,230.5,,,,
,,,,,,,,,,,,234.7,,,,
,,,,,,,,,,,,239.1,,,,
,,,,,,,,,,,,249.9,,,,
,,,,,,,,,,,,289.8,,,,
,,,,,,,,,,,,314.8,,,,
,,,,,,,,,,,,684.3,,,,
,,,,,,,,,,,,798.1,,,,
,,,,,,,,,,,,855.4,,,,
,,,,,,,,,,,,886.3,,,,
,,,,,,,,,,,,893.8,,,,
,,,,,,,,,,,,957.8,,,,
,,,,,,,,,,,,983.5,,,,
,,,,,,,,,,,,1020.6,,,,
,,,,,,,,,,,,1035.8,,,,
