ACA,AGI,BAD,BUR,COR,DON,FRI,FUN,GAT,GUC,JER,MAR,PAL,PRO,RAN,SEV,TAP
1084.2,1705.4,180.8,,,,974.4,,,,980.7,185.2,190.5,,175.7,,
1085.5,,181.1,,,,976.3,,,,981.2,185.3,190.8,,175.8,,
1085.6,,181.2,,,,977.3,,,,981.7,187.0,190.9,,175.9,,
1106.1,,181.4,,,,977.5,,,,983.3,187.4,191.6,,176.3,,
1110.9,,181.4,,,,985.1,,,,984.9,187.6,191.6,,176.3,,
1113.0,,181.7,,,,986.2,,,,985.5,187.6,191.7,,176.3,,
1139.1,,182.1,,,,987.5,,,,985.6,188.4,193.6,,176.4,,
1147.7,,182.6,,,,995.5,,,,985.7,188.6,193.9,,176.5,,
1156.6,,182.9,,,,995.6,,,,986.1,188.7,194.2,,176.5,,
1168.6,,183.1,,,,1101.1,,,,986.2,189.0,194.4,,176.7,,
1169.2,,183.4,,,,1108.0,,,,986.9,190.1,194.6,,176.7,,
1192.8,,183.6,,,,1195.9,,,,987.6,190.7,194.7,,176.8,,
1208.4,,183.6,,,,1278.1,,,,988.7,191.5,194.9,,176.8,,
1211.2,,183.8,,,,1323.1,,,,988.8,193.1,195.1,,176.8,,
1213.5,,184.1,,,,1337.3,,,,991.0,193.9,195.2,,177.1,,
1216.6,,184.3,,,,,,,,991.6,194.3,195.2,,177.5,,
1231.3,,184.7,,,,,,,,992.6,195.4,195.3,,177.6,,
1240.4,,185.4,,,,,,,,993.7,200.6,195.5,,177.6,,
1272.4,,185.6,,,,,,,,993.9,200.6,196.3,,177.7,,
1282.5,,185.8,,,,,,,,994.6,201.7,196.4,,177.7,,
1289.7,,186.0,,,,,,,,997.2,203.6,196.8,,177.7,,
1294.9,,186.4,,,,,,,,997.2,214.4,197.1,,177.8,,
1326.7,,186.5,,,,,,,,998.4,219.9,197.5,,177.8,,
1343.0,,186.8,,,,,,,,999.2,226.4,197.6,,177.9,,
1438.8,,187.8,,,,,,,,1002.3,285.3,198.4,,177.9,,
,,188.0,,,,,,,,1002.7,311.5,199.5,,177.9,,
,,188.5,,,,,,,,1003.8,439.4,199.9,,178.1,,
,,189.1,,,,,,,,1003.8,461.3,199.9,,178.2,,
,,189.2,,,,,,,,1005.1,723.0,199.9,,178.2,,
,,189.4,,,,,,,,1005.6,1015.1,200.9,,178.5,,
